English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
JoJo's Bizarre Adventure: Golden Wind,8.58,"Action, Adventure, Supernatural",TV,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",David Production,87.0,154,30447,638566.0,958134,86.86367557991603
Jingai-san no Yome,5.78,"Comedy, Fantasy, Romance",TV,"MAGES., Cloud22",Saetta,9763.0,3108,102,19088.0,44228,50.801125743967255
WataTen! An Angel Flew Down to Me,7.29,"Comedy, Girls Love",TV,"AT-X, flying DOG, Sony Music Communications, Kadokawa Media House, Ichijinsha, Kadokawa",Doga Kobo,2593.0,1139,946,79511.0,194043,66.12054125766332
B: The Beginning Succession,6.19,"Action, Mystery, Supernatural, Suspense",ONA,Netflix,Production I.G,7949.0,2040,162,28122.0,92042,55.012258448309154
Kaguya-sama: Love is War,8.41,Comedy,TV,"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures,172.0,53,37697,1030416.0,1632893,91.0975245875927
Demon Slayer: Kimetsu no Yaiba,8.5,"Action, Award Winning, Fantasy",TV,"Aniplex, Shueisha",ufotable,126.0,7,88375,1943121.0,2808712,97.05358639454325
Bungo Stray Dogs 3,8.22,"Action, Mystery, Supernatural",TV,"WOWOW, Lantis, Movic, Bandai Namco Live Creative, Sony Music Entertainment, Glovision, Kadokawa Media House, Kadokawa, Bandai Namco Arts",Bones,317.0,342,4846,304810.0,581684,79.63858274577478
Strike Witches: 501st JOINT FIGHTER WING Take Off!,6.58,"Comedy, Sci-Fi",TV,"Nippon Columbia, Glovision, Anime Beans","Acca effe, Giga Production",5927.0,4716,28,5721.0,18717,40.871537403944124
League of Nations Air Force Aviation Magic Band Luminous Witches,6.69,Sci-Fi,TV,"AT-X, Docomo Anime Store, Sammy, TV Aichi, Kadokawa Media House, DeNA, Production Ace, BS NTV, Kadokawa",Shaft,5396.0,4330,64,4638.0,22670,39.086728835157054
The Deer King,6.87,"Action, Adventure, Fantasy",Movie,"Yomiuri Telecasting, Toho, Nippon Television Network, JR East Marketing & Communications, Kadokawa, Movie Walker",Production I.G,4543.0,4056,35,3910.0,26176,37.755196552967405
Monster Strike the Animation,6.63,"Action, Fantasy",ONA,XFLAG,"Anima, ILCA, Studio GOONEYS, Dynamo Pictures, CGCG Studio",5694.0,7864,7,986.0,5257,24.706072553453613
